ID	Name	DC	Item	Value	Weight	Crafting	Requires	ValueNumber	WeightNumber	Multiplier	Misc	Description
solar	Solar	10	Solar Blood	800 gp	1 lb.		vial	800	1	3	 (3 vials)	The blood of an angel flows with radiant energy that brings life to all it touches (it clearly didn't work hard enough for its original owner though). Many of the most desperate people actively seek angels in an attempt to harvest their blood as a panacea, without putting much thought into the worse fate that awaits them should they succeed. Use: When you drink this blood, you regain 8d8+4 hit points and are freed from any curse (except the curse of the fallen), disease, poison, blindness, and deafness.
solar	Solar	15	Solar Wing	700 gp	30 lb.	Wings of Flying (DMG)		700	30	2	 (x2)	There is perhaps nothing more distinctive than the sillhouette of glorious white angel wings against a radiant light. As some of the most powerful magical wings in all the planes, these make for almost perfect base materials for the ever-useful wings of flying.
solar	Solar	25	Solar Eye	11,000 gp	2 lb.	Celestial Helm		11000	2	2	 (x2)	The burning gaze of a solar is capable of reducing even the strongest of evildoers to a smoking mass of flesh on the ground. Taking these eyes and performing extraordinarily powerful magic on them can transform them into diamonds that shine the same way they did under the solar's control.
animated-armour	Animated Armour	10	Animating Rune	5 sp	1 lb.			0.5	1	1		The basis of any animated object is the magical rune etched into its surface that enchants it and brings it to life. While these runes cannot be transferred from one object to another, resourceful tinkerers are capable of salvaging some of the expensive powders and ashes used to make them, and thus they can be sold for a small bit of profit.
flying-sword	Flying Sword	10	Animating Rune	5 sp	1 lb.			0.5	1	1		The basis of any animated object is the magical rune etched into its surface that enchants it and brings it to life. While these runes cannot be transferred from one object to another, resourceful tinkerers are capable of salvaging some of the expensive powders and ashes used to make them, and thus they can be sold for a small bit of profit.
rug-of-smothering	Rug of Smothering	10	Animating Rune	5 sp	1 lb.			0.5	1	1		The basis of any animated object is the magical rune etched into its surface that enchants it and brings it to life. While these runes cannot be transferred from one object to another, resourceful tinkerers are capable of salvaging some of the expensive powders and ashes used to make them, and thus they can be sold for a small bit of profit.
rug-of-smothering	Rug of Smothering	15	Shimmer Cloth	10 gp	7 lb.	Cloak of Mending (XGE) or Cloak of Billowing (XGE) 		10	7	1		The fibers of an enchanted rug continue to carry on a special property to them even after being rendered inanimate. When looked upon, these fibers seem to glimmer and move ever so slightly without any outside force acting on them. This property has been noted by tailors that incorporate them into various vanity items like the amusing cloak of mending or cloak of billowing.
ankheg	Ankheg	5	Ankheg Chitin	1 gp	30 lb.			1	30	1		Extremely hard, but too unwieldy and unconfortable to use in making armour. The ankheg's hide still finds some uses as a building material, especially for subterranean dwelllers who appreciate its suitability to rocky environments.
ankheg	Ankheg	10	Ankheg Gaster	2 gp	9 lb.	Canteen of Last Resort		2	9	1		A series of bladders in the hindquarters of an ankheg, this organ is analagous to the intestines of a humanoid. Although ankhegs are known for eating flesh, they absorb the majority of their nutrients from the soil they burrow through. Artificers are able to take this fact and create a handy survival tool for explorers with a strong stomach.
ankheg	Ankheg	15	Ankheg Bile	4 gp	1 lb.		vial	4	1	2	 (2 vials)	Ankhegs are well known for their incredibly potent digestive fluids that dissolve their prey. As such, alchemists find ankheg bile to be a particularly useful ingredient when creating their own acidic concoctions. Use: As an action you may make a ranged weapon attack to throw this vial at a target within 20 feet, shattering it on impact. Make a ranged attack against the target, treating the vial as an improvised object. On a hit, the target suffers 1d6 acid damage.
azer	Azer	10	Azer Ash	1 sp	1 lb.			0.1	1	1		Residual material from the azer's corpse. This ash still maintains a faint trace of the magic that created it. While not overly useful, some artisans like to sprinkle it over their creations for good luck.
azer	Azer	15	Azer Bronze Skin	10 gp	50 lb.			10	50	1		Azers need no armour, as their skin is already made of durable, mastercrafted bronze. While the trauma of its owner's demise has made the skin difficult to repurpose directly for armour, it is still high quality material, and any blacksmith worth their salt would be happy to get it.
azer	Azer	20	Spark of Creation	12 gp	1 lb.	Bronze Companion	enchanted vial	12	1	1		Although the azer of this particular flame of creation is dead, a single smouldering spark remains, and those with knowledge of the arcane are able to quickly harvest and store it safely for later use. While small, these sparks have immense potential and are often used in either the construction of living trinkets, or the lighting of magical forges. Requires enchanted vial.
banshee	Banshee	15	Banshee Echo	13 gp	1 lb.		spirit paper	13	1	1		The incorporeal banshee leaves very little behind except the last whispers of its terrible wail. With some spirit paper, a good harvester can collect the echo of this wail before it vanishes forever and use it in times of desperation. Requires spirit paper. Use: You may spend an action to tear this item open and release the banshee wail kept within. All creatures within 30 feet of you that can hear must make a DC 13 Constitution saving throw. On a failure, a creature drops to 0 hit points. On a success, a creature takes 3d6 psychic damage. This wail has no effect on constructs and undead.
banshee	Banshee	20	Banshee Remnant	60 gp	1 lb.	Pipes of Haunting (DMG)	spirit paper	60	1	1		It takes a particularly nimble mind and fast action to trap enough remnants of a banshee to make a usable crafting item. If successful however, they are often refashioned into enchanted reeds that create a haunting noise when used in wind instruments. Requires spirit paper. 
basilisk	Basilisk	5	Basilisk Tooth (small pouch)	2 gp	2 lb.			2	2	1		As the basilisk feeds on stone, its teeth are infamous for being extraordinarily hard and sharp. Stonemasons across the land value these teeth as tools in theit craft.
basilisk	Basilisk	10	Basilisk Eye	2 gp	1 lb.	Basilisk Gaze Poison		2	1	2	 (x2)	The petrifying gaze of the basilisk is known far and wide. As such, the eyes of a basilisk are prized for their inherent magical properties and their use in the creation of petrifying tonics. It is said that more nefarious wizards make use of these eyes to create trapped statues that transform unwary intruders into stone.
basilisk	Basilisk	15	Basilisk Bile	6 gp	1 lb.	Basilisk Gaze Poison	vial	6	1	2	 (2 vials)	It is a common misconception that basilisks digest stone. In fact, the fluids inside the basilisk's gullet transform consumed stone back into organic matter to be consumed. This bile is thus worth a good amount to alchemists seeking to make an oil to counter the effects of a basilisk's gaze.
behir	Behir	10	Behir Scales (large bag)	55 gp	25 lb.			55	25	1		The scales of a behir resemble a dragon's but are different in many ways in the eyes of a trained observer. While these scales are often found decorating items in an unscrupulous tailor's shop marketed as actual dragon scales, the fact that they are much smoother and more flexible than an actual dragon's makes them much more useful for fashion.
behir	Behir	15	Behir Horn	300 gp	30 lb.			300	30	1		The horn of a behir is composed of a unique keratin that has an odd reaction to the presence of dragons. A dragon's mere presence causes these horns to resonate, usually alerting a behir to the presence of their hated foe. The horns will still function in the hands of anyone else, but the dragon usually must be much closer for the vibrations to be detected. Use: When within 1 mile of a dragon (whether it in its true form or polymorphed into a different shape), this horn will begin to vibrate, with the vibrations becoming more pronounced the closer it is to the dragon. This horn does not indicate the direction of the dragon, only its general proximity.
behir	Behir	20	Lightning Sack	875 gp	10 lb.	Lightning Oil or Storm Caller		875	10	1		This large, but surprisingly light leathery sack is located at the back of the behir's cavernous mouth, and is roughly the size of a picnic basket. Inside is a mixture of chemicals, fluids and enzymes that when exposed to the open air, erupts in a destructive crackle of lightning. While extremely dangerous, alchemists and weaponsmiths alike will crawl over themselves to obtain some of this powerful energy. Use: The lightning sack can be thrown by itself up to a range of 20 feet. If thrown, the lightning sack will explode on impact, dealing 4d10 lightning damage to all creatures in a 10 foot radius, or half that on a successful DC 14 Dexterity saving throw.
beholder	Beholder	15	Beholder Membrum	45 gp	40 lb.			45	40	1		The anatomy of a beholder is infinitely alien and strange to any scholar native to the Material Plane. One of the most curious features of the beholder is that aside from its brain, the beholder features a noticeable dearth of internal organs. Instead, any internal space not occupied by brain matter is filled with a large rubbery balloon that seems to act as the beholder's heart, lungs, and stomach. How it achieves all of these simultaneous functions is unknown. This organ is as versatile as its owner, and many scholars are eager to obtain a complete sample for their research into transmutation. 
beholder	Beholder	20	Beholder Eye Stalk	650 gp	9 lb.	Eye Stalk Wand		650	9	1		While the eye stalks of the beholder may be severed from its body, they still retain some of the magical energy that allowed them to fire powerful rays at their enemies. Skilled artificers can take these stalks and use them as the cores of magical wands that emit the same types of rays they emitted in life. Alternatively, four of the intact stalks may be used as part of a ritual to summon a spectator. If a player harvests an eye stalk, roll 1d10. The type of eye stalk they receive corresponds to the number rolled, as described in the beholder statblock.
beholder	Beholder	25	Beholder Main Eye	3,250 gp	30 lb.	Anti-Magic Crystal		3250	30	1		The main eye of the beholder is unique in that instead of issuing forth a beam of magical energy, it instead does the opposite: emitting a cone of nullification that disrupts the Weave and prevents the functioning of any magic it gazes at. While it is inactive due to being severed from a living beholder, learned wizards know how to transfigure this organ into an anti-magic crystal, the type that can be used to protect their own strongholds against magical incursions.
death-tyrant	Death Tyrant	15	Death Tyrant Jaw	700 gp	20 lb.	Greataxe, +2 (DMG)		700	20	1		The teeth of a beholder must never be underestimated, even in death. Their jaws possess a wicked bite, and when attached to the handle of an axe, so can your backswing.
death-tyrant	Death Tyrant	25	Death Tyrant Eye	3,500 gp	20 lb.	Negative Energy Crystal		3500	20	1		The eye of a beholder undergoes a terrible transformation when it transitions into undeath, emitting a cone of negative energy rather than anti-magic. But like a normal beholder eye, this eye can be transformed into a crystal of great power that many powerful wizards enjoy employing in their lairs.
spectator	Spectator	15	Spectator Eye Stalk	14 gp	7 lb.	Lesser Eye Stalk Wand		14	7	1		The stalks of the spectator are less powerful than those of the beholder it consumed to be summoned. However, their potential to be made into wands by artificers are the same. When crafted properly, they continue to contain an arcane charge that allows them to discharge the same types of magical rays they did in life. If a player harvests an eye stalk, roll 1d4. The type of eye stalk they receive corresponds to the number rolled, as described in the spectator statblock.
spectator	Spectator	20	Spectator Main Eye	60 gp	20 lb.	Shield of Reflection		60	20	1		The main eye of the spectator functions differently to that of the beholder. While the beholder's emits an anti-magic cone at all times, the spectator's can be used to reflect poorly casted spells at other targets. When used for crafting, the magic of the eye can be transferred over to a shield, to grant it the same ability.
needle-blight	Needle Blight	5	Needles (small bundle)	5 cp	2 lb.			0.05	2	1		The signature needles of the needle blight. While not more particularly useful than any other needle you would find on the forest floor, some fletchers find they make reliable sturdy material for wooden darts. 
needle-blight	Needle Blight	10	Blight Pollen (small pouch)	3 sp	1 lb.	Potion of Speak With Plants		0.3	1	1		Most blights are incapable of speech as we understand it. Instead, they communicate with each other through the use of pollen that can be carried for miles. Alchemists and druids however have figured out how to repurpose this pollen for potions that allow the user to communicate with regular plant life.
needle-blight	Needle Blight	15	Blight Seeds	1 sp	1 lb.	Blight Oil		0.1	1	5	 (x5)	The rapid ability of the blights to spread their influence is well known to any forest dweller. They do this through the many seeds that each blight carries within them. These dry, wrinkled seeds sprout in a matter of hours and grow to maturity in days, forming the infamous vines, brambles, and weeds of a blight infestation. While most of their dark properties are lost if not planted by an actual blight, some alchemists are capable of repurposing them for a crop fertiliser or an oil that reacts strangely with plantlife.
needle-blight	Needle Blight	20	Gulthias Sap	6 sp	1 lb.		vial	0.6	1	1	 (vial)	The bodies of blights exhibit a strange property. When large quantities are mulched and then strained for some time, a few drops of a sticky, dark red sap sometimes drips out which more daring druids use in their rituals.
twig-blight	Twig Blight	15	Blight Seeds	1 sp	1 lb.	Blight Oil		0.1	1	5	 (x5)	The rapid ability of the blights to spread their influence is well known to any forest dweller. They do this through the many seeds that each blight carries within them. These dry, wrinkled seeds sprout in a matter of hours and grow to maturity in days, forming the infamous vines, brambles, and weeds of a blight infestation. While most of their dark properties are lost if not planted by an actual blight, some alchemists are capable of repurposing them for a crop fertiliser or an oil that reacts strangely with plantlife.
twig-blight	Twig Blight	20	Gulthias Sap	6 sp	1 lb.		vial	0.6	1	1	 (vial)	The bodies of blights exhibit a strange property. When large quantities are mulched and then strained for some time, a few drops of a sticky, dark red sap sometimes drips out which more daring druids use in their rituals.
vine-blight	Vine Blight	5	Vines (small bundle)	5 cp	5 lb.			0.05	5	1		The signature vines of the vine blight. These have been made sturdier yet more flexible in order to constitute the blight's body. When stripped down to their fibers, they make good material for rope and ties.
vine-blight	Vine Blight	10	Blight Pollen (small pouch)	3 sp	1 lb.	Potion of Speak With Plants		0.3	1	1		Unlike the needle blight which uses its pollen to communicate with other needle blights, the vine blight's pollen is capable of interacting directly with other plants, turning entire forests into dark defenders of the blight's domain. Despite that, their usage in alchemy is the same.
vine-blight	Vine Blight	15	Blight Seeds	1 sp	1 lb.	Blight Oil		0.1	1	5	 (x5)	The rapid ability of the blights to spread their influence is well known to any forest dweller. They do this through the many seeds that each blight carries within them. These dry, wrinkled seeds sprout in a matter of hours and grow to maturity in days, forming the infamous vines, brambles, and weeds of a blight infestation. While most of their dark properties are lost if not planted by an actual blight, some alchemists are capable of repurposing them for a crop fertiliser or an oil that reacts strangely with plantlife.
vine-blight	Vine Blight	20	Gulthias Sap	6 sp	1 lb.		vial	0.6	1	1	 (vial)	The bodies of blights exhibit a strange property. When large quantities are mulched and then strained for some time, a few drops of a sticky, dark red sap sometimes drips out which more daring druids use in their rituals.
bugbear	Bugbear	10	Bugbear Hide	8 sp	13 lb.			0.8	13	1		Despite usually being filthy and riddled with mange, an intact bugbear hide can actually serve as very good leather. It is not uncommon for more nomadic people to wear these tanned hides for both comfort and as a sign of their strength.
bugbear-chief	Bugbear Chief	10	Bugbear Hide	8 sp	13 lb.			0.8	13	1		Despite usually being filthy and riddled with mange, an intact bugbear hide can actually serve as very good leather. It is not uncommon for more nomadic people to wear these tanned hides for both comfort and as a sign of their strength.
bugbear-chief	Bugbear Chief	15	Heart of Hruggek	1 gp	6 lb.			1	6	1		The most fearsome of bugbears carry with them the blessing of their god Hruggek which allows them to surge past any danger and debilitations. If you are willing to indulge in your own inner savage, you too can take this blessing by consuming the bugbear's heart, but beware of any side effects. Use: You may spend an action to consume this heart. If you do so, you have advantage on saving throws against being charmed, frightened, paralyzed, poisoned, stunned, or put to sleep for the next hour. Once this effect wears off, you must succeed on a DC 12 Constitution saving throw or gain one level of exhaustion as the adrenalinne filled organ passes through your system.
bulette	Bulette	10	Bulette Teeth (small pouch)	11 gp	2 lb.	Dagger, +1 (DMG) or Spear, +1 (DMG)		11	2	1		Capable of puncturing even steel armour, bulette teeth are well regarded as materials for crafting daggers and spears. Some cultures even consider bulette hunting to be a rite of passage, using the weapon made from their kill for the rest of their adult lives.
bulette	Bulette	15	Bulette Claw	8 gp	10 lb.	Stone Cleaver Weapon		8	10	4	 (x4)	Capable of powerful digging, the bullette claw makes for a wonderful weapon base, one that is capable of piercing rock and metals alike. 
bulette	Bulette	20	Bulette Hide	60 gp	50 lb.	Stone Swim Armour		60	50	1		While the bulette relies on its powerful jaws and claws to tunnel through solid rock, it is aided by a layer of rock dissolving slime that it exudes constantly from its hide. When harvested quickly, the hide itself retains this property and can be crafted into protective equipment for subterranean adventurers.
bullywug	Bullywug	5	Bullywug Tongue	8 cp	3 lb.			0.08	3	1		A bullywug tongue is remarkably long for their size and incredibly tough. Swamp folk can often be found drying these and using them as rope substitutes.
cambion	Cambion	5	Cambion Sulfur (small pouch)	7 gp	2 lb.			7	2	1		Unlike most fiends, a cambion does not dissolve when it is slain. Its bizarre physiology however does still react strangely on death with parts of its body spontaneously combusting as it dies. These reactions are not enough to destroy the body, but it does create small piles of sulfur that are quite useful in various demonology related projects.
cambion	Cambion	10	Devil-Tinged Blood	4 gp	1 lb.	Philter of Love (DMG)	vial	4	1	3	 (3 vials)	As the child of a fiend and a human, the blood of a cambion possesses certain magical properties that are even more powerful due to their compatibility with humanoid physiology.
cambion	Cambion	15	Cambion Wing	30 gp	20 lb.	Infernal Wings		30	20	2	 (x2)	As with many fiends, the wings of a cambion are useful in creating the famous item: infernal wings. When taken whole, they can serve as a majority of the base, forming bat wings when the final item is put to use.
carrion-crawler	Carrion Crawler	10	Carrion Crawler Guts	5 sp	10 lb.			0.5	10	1		As their name implies, carrion crawlers feast solely on putrid and rotting flesh. As disgusting as their digestive system may seem, it is uniquely adapted to overcoming any diseases or poisoning that would befall any other creature attempting such a diet. Local healers have thus developed numerous uses for a carrion crawler's guts, ranging from a salve to treat gangrene, to a tonic for treating indigestion.
carrion-crawler	Carrion Crawler	15	Carrion Crawler Mucus	10 gp	1 lb.		vial	10	1	1	 (vial)	The mucus of a carrion crawler is remarkably poisonous, especially since it only requires contact with the skin to take effect. Use: A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. The poisoned creature is paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A vial of this poison may be applied to coat 1 melee weapon or up to 10 pieces of ammunition. These remain coated for 10 minutes after which the poison degrades too much to be useful. 
centaur	Centaur	10	Centaur Hoof	5 sp	13 lb.			0.5	13	4	 (x4)	The hooves of a centaur are much harder than those of a mundane horse, and centaurs in their pragmatism have even been found harvesting them for their own use. It is not uncommon for centaurs to be in the possession of tools, bowls, and even weapons made from the hooves of their dead tribal members.
centaur	Centaur	15	Centaur Tail	3 gp	4 lb.	Shortbow, +1 (DMG) or Longbow, +1 (DMG)		3	4	1		The hairs of a centaur are renowned for their tensile strength while remaining supple and flexible. As such they make superb bowstrings and centaur archers are known for using their own hairs in their bows.
chimera	Chimera	10	Chimera Goat Hoof	2 gp	6 lb.			2	6	2	 (x2)	The hindquarters of the monstrous chimera. While they resemble an ordinary goat in shape, they are noticebly larger in size. While not usable for much, they do make for fine trophies.
chimera	Chimera	15	Chimera Goat Head	25 gp	20 lb.	Chimera Trident		25	20	1		One of the chimera's three heads. Larger than a regular goat's, the horns are particularly hard and large. Many mountain folk consider an ale mug made from a chimera's horns to be a very enticing gift.
chimera	Chimera	15	Chimera Lion Paw	4 gp	6 lb.			4	6	2	 (x2)	The leonine front paws of the chimera. Larger than a normal lion's, with claws twice as sharp. Some druids prefer using these as their focus when performing transmutation magic, believing that it makes their spellwork easier. Whether that is true or not has yet to be confirmed.
chimera	Chimera	20	Chimera Lion Head	40 gp	25 lb.	Chimera Trident		40	25	1		One of the chimera's three heads. Larger than a regular lion's, this head makes a fantastic trophy when stuffed and mounted, particularly when placed in the quarters of a skittish house guest.
chimera	Chimera	20	Chimera Dragon Wing	25 gp	30 lb.	Chimera Kite		25	30	2	 (x2)	The draconic wings of the chimera. While they lack the same amount of magical power as a genuine dragon's wings, they are also much easier to handle and much easier to get a hold of. Daring tinkers have taken to using them in making kites strong enough to lift smaller races high into the air.
chimera	Chimera	25	Chimera Dragon Head	150 gp	25 lb.	Chimera Trident		150	25	1		One of the chimera's three heads. While the flame is less powerful than a genuine dragon's, the glands that produce the flame is much easier to access in a chimera's head, and provide materials that are much more stable to work with. Alchemists prize these glands as a source of highly flammable oil.
chuul	Chuul	10	Chuul Pincer	3 gp	40 lb.			3	40	2	 (x2)	The oversized pincer of a monstrous chuul. While too unwieldy to be fashioned into a useful weapon, the razor sharp hooks can be repurposed for useful tools, including, but not limited to, instruments of torture.
chuul	Chuul	15	Chuul Venom	10 gp	1 lb.	Chuul's Caress Poison	vial	10	1	1	 (vial)	A rather nasty toxin, wringed from the tentacle appendages of the chuul. Unfortunately, the death of its owner causes it to lose much of its potency but can still be used as a base by knowledgable alchemists to create another paralysing potion.
chuul	Chuul	20	Arcana Ganglia	100 gp	5 lb.	Magical Dowsing Rod		100	5	1		At the base of a chuul's brain lies a peculiar bundle of nerves referred to as the arcana ganglia. This highly sensitive lobe vibrates in the presence of magic and is what grants chuul's their innate ability to sense magic around them. Designed by their aboleth masters through generations of magic and breeding, there are only a handful of artificers in the world capable of repurposing it into a functioning tool capable of replicating the chuul's natural ability.
cloaker	Cloaker	10	Cloaker Tooth (small pouch)	5 gp	2 lb.			5	2	1		Resembling the needle-like teeth of a moray eel but stronger, the teeth of the cloaker can be used to make a variety of tools. Some of the more notorious thieves in the world even boast possessing lockpick sets made entirely of cloaker teeth.
cloaker	Cloaker	15	Cloaker Tail	85 gp	20 lb.	Whip +1 (DMG)		85	20	1		The infamous cloaker tail, covered in dozens of razor sharp spines. Drow taskmasters have developed a technique of taking the tails, treating them with special oils, and reusing them as whips.
cloaker	Cloaker	20	Cloaker Hide	500 gp	25 lb.	Cloak of Displacement (DMG)		500	25	1		Even for the most experienced of tanners, the skin of the cloaker is exceptionally difficult to remove. Due to the cloaker's unique physiology, a single misplaced cut can cause the creature's internal enzymes to spill and stain the hide. If done correctly however, the skin will maintain its shadowy and illusive appearance and may be used as the foundation for the ever useful cloak of displacement.
cockatrice	Cockatrice	10	Cockatrice Bile	2 sp	1 lb.		vial	0.2	1	1	 (vial)	Unlike basilisks, a cockatrice cannot consume stone. Unfortunately, anything that receives so much as a graze from its beak becomes petrified, and with the cockatrice's frenzied hunting style, such an occurrence is more then common. As such, its bile has certain properties that slow down the petrification process, allowing the cockatrice to get some nourishment before its food becomes undigestible. This bile has become a staple of a stonemason's toolkit as it allows them to temporarily soften stone for easier handling.
cockatrice	Cockatrice	15	Cockatrice Droppings (small pouch)	5 sp	1 lb.			0.5	1	1		Cockatrices are infamous for their enthusiasm in devouring a meal, and as such, they occasionally end up swallowing food that they have already accidentally petrified. The food remains stone through the cockatrice's digestive system, and some consider the resulting food statues to be a novelty to say the least. There are even some enterprising individuals who keep cockatrice farms in order to harvest their droppings for stone trinkets (I assume they do not reveal to their customers where they came from however).
cockatrice	Cockatrice	20	Cockatrice Beak	1 gp	1 lb.	Petrifying Dagger		1	1	1		The infamous beak of a cockatrice, capable of turning any living creature into petrified stone. Despite common belief, the petrifying magic has nothing to do with the cockatrice's saliva, but is entirely within the cockatrice's beak alone. Any artificer worth their salt knows the techniques to turn an undamaged beak into a weapon that shares the cockatrice's petrifying ability.
couatl	Couatl	15	Couatl Venom	40 gp	1 lb.		vial	40	1	1	 (vial)	The venom of a couatl is entirely non-lethal, reflective of the couatl's pacifist nature. Couatl are in fact known for occasionally secreting this venom for the mortals they partner with in the hopes of averting deaths wherever possible. Use: Can be used to coat up to 10 pieces of slashing or piercing ammunition or one slashing or piercing melee weapon. Applying the poison takes 1 minute. For the next 10 minutes, any creature successfully hit must make a DC 13 Constitution saving throw, or become poisoned for 24 hours. Until this poison ends, the target is unconscious. A creature automatically wakes up if they receive damage or if an adjacent creature spends their action to wake them up.
couatl	Couatl	20	Couatl Feather (large bag)	120 gp	5 lb.	Pillow of Perfect Rest		120	5	1		The feathers of a couatl are extraordinarily vibrant, yet as soft as down. A particular pillow has been made with these feathers that shares the couatl's ability to shield its mind from external psychic threats. Powerful people have been known to use these pillows to shield their sleeping moments from intrusion, as well as to just get an extremely comfortable sleep. 
crawling-claw	Crawling Claw	10	Cursed Knucklebones	1 sp	2 lb.	Charlatan's Die (XGE)		0.1	2	1		"The bones of a hand that has been transformed by necromantic manipulation are notable for still carrying trace elements of those same energies. They are not useful for much, but it is said that a set of dice carved from these knucklebones roll lower than is statistically likely, giving rise to the ubiquitous unlucky gambler term: ""the dead man's hand."""
cyclops	Cyclops	10	Cyclops Eyelid	10 gp	4 lb.	Deceptive Eyepatch		10	4	1		The enormous lid of a cyclops is made of a strange material, quite different to the rest of the cyclops' skin. The purpose of this is still a mystery, but various crafters have managed to take its esoteric properties and use it for their own entertaining projects.
cyclops	Cyclops	15	Cyclops Heart	25 gp	25 lb.			25	25	1		The extremely large heart of a cyclops. Makes a good trophy when preserved and mounted on a base.
cyclops	Cyclops	20	Cyclops Eye	140 gp	20 lb.	Monocle of Focus		140	20	1		Once they are roused to interest, cyclopses are known to relentlessly pursue whatever it is they set their eye on. Experiments on cyclops remains have revealed that the eye itself is partly to blame, as its unique situation forces the cyclops to focus on one thing for prolonged periods of time. Artificers have taken this property and applied it into a battle aid that doubles as a stylish dinner party accessory.
