ID	Name	Description
cloak-of-dragonflight	Cloak of Dragonflight	Wondrous item, very rare (requires attunement) Crafted by: Dragon Wing x2 (Leatherworker) This long cloak resembles the leathery membranes of a dragon’s wings and shines the same shade as the dragon from whom it was crafted. While wearing this cloak, you may speak the command word to transform them into a pair of dragon wings on your back. They remains in this form for 6 hours or until you speak the command word again. The wings grant you a fly speed of 60 feet, and resistance to the damage type corresponding to the dragon from whom it was crafted. Once used, this ability cannot be used again until the next dawn.
cloak-of-magic-immunity	Cloak of Magic Immunity	Wondrous item, very rare (requires attunement) Crafted by: Rakshasa Hide x1 (Leatherworker) This item has 10 charges. When you are subjected to a spell of 6th level or lower that you are aware of, you may spend your reaction to spend a number of charges equal to the level of that spell. If you do, you become immune to that spell’s effects, including any lasting effects of the spell such as the fire created by the wall of fire spell. This item regains all spent charges daily at dawn.
cloud-step-oil	Cloud Step Oil	Oil, very rare Crafted by: Cloud Giant Blood x1 vial (Alchemist) When some of this oil is poured out, it immediately has a reaction to the air around it and magically expands into a semi-solid cloud that is capable of floating while holding weight on top of it. Up to 50 pounds of weight per square foot can be placed on one of these clouds. If more weight than this is placed on it, that section of cloud disappears instantly. Clouds are self-supporting in the air but can also be used to make structures such as bridges using careful placement of the oil. Clouds weigh virtually nothing and can be moved around if external force is applied to them. The clouds last for 1 hour after pouring, after which they disappear. One bottle of this oil is enough to create 500 square feet of clouds.
crown-of-celestial-might	Crown of Celestial Might	Wondrous item, legendary (requires attunement) Crafted by: Empyrean Heart x1 (Thaumaturge) This crown either gleams white if it was crafted from a good-aligned empyrean or is a matte black if it was taken from an evil-aligned empyrean. This crown has 9 charges. While wearing this crown you may spend an action to expend 1 or more charges to do any of the following: You cast any of the following spells: greater restoration (5 charges), fire storm (7 charges), plane shift (7 charges, self only), earthquake (8 charges) You strike the ground, triggering an earth tremor. All other creatures on the ground within 60 feet of you must succeed on a DC 25 Strength saving throw or be knocked prone (2 charges). You bolster all nonhostile creatures within 120 feet of you until the end of your next turn. Bolstered creatures can’t be charmed or frightened, and they gain advantage on ability checks and saving throws until the end of your next turn (1 charge).  You may make a ranged spell attack at a target within 600 feet. On a successful hit, you deal 7d6 damage of one of the following types (your choice): acid, cold, fire, force, lightning, radiant, or thunder. This ranged attack uses your normal spell attack modifier, or your Charisma modifier + your proficiency bonus, whichever one is higher (1 charge). Additionally, if you fail a saving throw while wearing this crown, you may spend your reaction and 3 charges to succeed on that saving throw instead.
crown-of-darkness	Crown of Darkness	Wondrous item, very rare (requires attunement) Crafted by: Vampire Heart x1 (Thaumaturge) This crown has 9 charges. While wearing and attuned to this crown, and so long as you are not in bright light, you may spend an action to expend 1 or more of the crown’s charges to cast one of the following spells from it, with Intelligence as your spellcasting modifier: conjure animals (3 charges and may only summon swarms of rats, swarms of bats, or wolves), darkness (2 charges), invisibility (2 charges, plus 1 additional charge for every level above 2nd), spider climb (2 charge), gaseous form (3 charges), vampiric touch (3 charges, plus 1 additional charge for evert level cast above 3rd). The crown recovers 1d8+1 charges at midnight. While wearing and attuned to the crown, you also gain advantage on any Dexterity (Stealth) checks made to hide in dim light or darkness, and darkvision out to 60 ft.
curse-of-jealousy	Curse of Jealousy	Wondrous item, rare Crafted by: Peryton Heart x1 (Thaumaturge) This scroll contains blasphemous words written in a dark ink, that when read aloud can permanently alter the makeup of a magical object. You may spend 1 hour reading this scroll aloud while holding a magical item. At the end of that hour, that item permanently becomes a cursed item with a curse that reads as follows: Curse: “When you attune to this item you become cursed. As long as you remain cursed, you feel a strong need to be around this item at all times and become reluctant to be more than 5 feet away from it at any given time. In addition, whenever you attempt to give an item belonging to you to someone else, you must succeed on a DC 12 Wisdom saving throw. If you fail, you find yourself unable to give that item away and your action is wasted.” This curse ends permanently on both the item and the afflicted creature if the remove curse spell or similar magic is cast on the cursed item. 
curse-of-nightmares	Curse of Nightmares	Wondrous item, rare Crafted by: Rakshasa Claw x1 (Thaumaturge) This scroll contains blasphemous words written in a dark ink, that when read aloud can permanently alter the makeup of a magical object. You may spend 1 hour reading this scroll aloud while holding a magical item. At the end of that hour, that item permanently becomes a cursed item with a curse that reads as follows: Curse: “When you attune to this item you become cursed. As long as you remain cursed, you have a 20 per cent chance whenever you take a short or long rest to be wracked by terrible images and thoughts. When this occurs, you gain no benefit from finishing that short or long rest.” This curse ends permanently on both the item and the afflicted creature if the remove curse spell or similar magic is cast on the cursed item.
curse-of-spite	Curse of Spite	Wondrous item, rare Crafted by: Wraith Energy x1 (Thaumaturge) This scroll contains blasphemous words written in a dark ink, that when read aloud can permanently alter the makeup of a magical object. You may spend 1 hour reading this scroll aloud while holding a magical item. At the end of that hour, that item permanently becomes a cursed item with a curse that reads as follows: Curse: “A creature afflicted by this curse experiences intense feelings of spite towards every other living creature around them. If the cursed creature interacts with another humanoid creature for the first time, they must succeed on a DC 13 Wisdom saving throw or develop feelings of extreme hatred for that creature. If they fail by 5 or more, they are compelled to kill that creature at any cost. A creature that the cursed creature considers a friend may attempt to calm them down by succeeding on a DC 13 Charisma (Persuasion) check. A creature that dies while under the effects of this curse has their soul transformed into a wraith instead of moving on to the afterlife. At this point, only a wish spell can change their soul back to its original state and allow it to move on.” This curse ends permanently on both the item and the afflicted creature if the remove curse spell or similar magic is cast on the cursed item.
curse-of-vanity	Curse of Vanity	Wondrous item, rare Crafted by: Medusa Heart (Thaumaturge) This scroll contains blasphemous words written in a dark ink, that when read aloud can permanently alter the makeup of a magical object. You may spend 1 hour reading this scroll aloud while holding a magical item. At the end of that hour, that item permanently becomes a cursed item with a curse that reads as follows: “When you attune to this item you become cursed. Whenever you look at your own reflection while cursed, you must succeed on a DC 15 Wisdom saving throw or become stunned until you can no longer see your reflection. This curse ends permanently on both the item and the afflicted creature if the remove curse spell or similar magic is cast on the cursed item.
dagger-of-life-stealing	Dagger of Life Stealing	Weapon (dagger), uncommon (requires attunement) Crafted by: Vampire Spawn Fang x2 (Blacksmith) When you attack a creature with this magic weapon and roll a 20 on the attack roll, that target takes an extra 5 necrotic damage if it isn't a construct or an undead. You also gain 5 temporary hit points.
deception-skull	Deception Skull	Wondrous item, uncommon Crafted by: Green Hag Skull x1 (Artificer) While holding this item, you may spend an action to mentally command this item to mimic an animal sound or humanoid voice that you have heard before. This item will continuously create those sounds for up to 10 minutes or until you spend an action while holding it to command it to stop. These sounds are audible from up to 100 feet away, and creatures that hear the sound can tell they are imitations with a successful DC 14 Wisdom (Insight) check.
debilitating-whip	Debilitating Whip	Weapon (whip), rare Crafted by: Roper Tendrils x6 (Leatherworker) This whip has 6 wicked tails made from a roper tendril that still had its hair-like growths in-tact. The wielder of this whip may choose to make a grapple check using the whip instead of their free hand. A creature grappled by this whip is considered restrained on top of being grappled and has disadvantage on all Strength checks and Strength saving throws.
demilich-censer	Demilich Censer	Wondrous item, very rare Crafted by: Demilich Smoke x1 vial (Thaumaturge) This censer has an innate connection with the demilich from whom it was crafted. When held by a creature, faint wisps of smoke will emerge and blow in the direction of that demilich if that demilich is still animate and on the same plane of existence as the holder. The intensity and thickness of the smoke will increase as proximity to the demilich decreases.A creature holding this item may also spend 10 minutes focusing on it, after which, smoke emerges and blows in the direction of the demilich’s phylactery if it is on the same plane of existence as the censer. Once this ability has been used once, it cannot be used again until the next dawn. 
demon-bomb	Demon Bomb	Wondrous item, rare Crafted by: Balor Ashes 1x small pouch (Alchemist) This bomb is a black iron sphere filled with balor ashes and explosive elements and is roughly the size of an orange. You may spend an action to light and throw this item at a point within 20 feet. At the end of your next turn, this item will explode, forcing all creatures within 20 feet of it to make a DC 20 Dexterity saving throw, taking 15d6 fire damage on a failure, or half as much damage on a success. The explosion ignites flammable objects in this area that aren’t being worn or carried.
demon-leather	Demon Leather	Armour (studded leather), rare (requires attunement) Crafted by: Glabrezu Skin x1 (Leatherworker) You gain a +1 bonus to AC while wearing this armour. In addition, when you first attune to this armour, you may choose to be resistant to either cold, fire, or lightning damage while wearing this armour. You may change which damage type you are resistant to after you take a long rest while wearing this armour. 
demon-light	Demon Light	Wondrous item, very rare (requires attunement) Crafted by: Nalfeshnee Eye x2 (Artificer) While wearing this jewels, you gain truesight out to a range of 120 feet and telepathy out to 120 feet. Also, you may spend an action to cause it to emit a scintillating, multicoloured light. Each creature within 15 feet of the item that can see the light must succeed on a DC 15 Wisdom saving throw or be frightened for 1 minute. A creature may repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Once this ability has been used, it cannot be used again until the next dawn.
demon-music-box	Demon Music Box	Wondrous item, common Crafted by: Vrock Vocal Cords x1 (Tinker) You may spend an action to wind up and activate this music box, playing an eerie song that changes every time it is played. This song lasts for 1 minute and can be heard from up to 30 feet away.
demon-needle	Demon Needle	Weapon (spear, lance, or pike), rare (requires attunment) Crafted by: Chasme Proboscis x1 (Blacksmith) When you attack a creature with this weapon and roll a 20 on the attack roll, the target takes an extra 10 necrotic damage and the target’s hit point maximum is reduced by the same amount of necrotic damage it took. If this effect reduces a creature’s hit point maximum to 0, the creature dies. This reduction to a creature’s hit point maximum lasts until the creature finishes a long rest or until it is affected by a spell like greater restoration.
deceptive-eyepatch	Deceptive Eyepatch	Wondrous item, common Crafted by: Cyclops Eyelid x1 (Leatherworker) This eyepatch becomes translucent from the perspective of whoever is wearing it, allowing them to see through it without any penalty to their vision and depth perception.
devil-vellum	Devil Vellum	Wondrous item, rare Crafted by: Bone Devil Hide x1 (Leatherworker) A wizard may choose to inscribe one of their known spells on this sheaf of vellum and insert it into their spellbook. If they do so, whenever they cast that spell, they may cast it as if they had cast it using the highest spell slot level their wizard level would grant them, regardless of the level of the spell slot they actually used. Whenever they cast that spell however, they have a 10 per cent chance of being transported to a random level of the Nine Hells for 1 minute, after which they return to the spot from which they disappeared, or the nearest unoccupied space. 
dino-helm	Dino-Helm	Wondrous item, uncommon Crafted by: Ankylosaurus Skull x1 (Blacksmith) This helmet is perfectly structured to redirect force away from whatever is contained within, while still delivering devastating strikes when used offensively. While wearing this helmet, you may use the Attack action to headbutt a creature within 5 feet of you. If you’re able to make multiple attacks with the Attack action, this attack replaces one of them. When you headbutt a creature, you make a contested Strength check against them. If you win, that creature is stunned until the end of your current turn. 
divine-justice	Divine Justice	Weapon (any melee bludgeoning weapon), very rare (requires attunement by a good-aligned paladin or cleric) Crafted by: Planetar Bone x1 (Thaumaturge) You gain a +1 to attack and damage rolls made with this weapon. When you hit an attack using this weapon, the target takes an additional 1d6 radiant damage. While holding this weapon, you may also spend an action to hold this weapon above your head, causing you to emanate a holy aura for the next 10 minutes. This aura is a cylinder 20 feet high and with a 10-foot radius centered on where you used this ability. Any fiend or undead within this aura may not willingly leave by any means unless they first succeed on a Charisma saving throw against your spell save DC. In addition, any fiend that dies within this aura acts as if it died on its native plane. Once this ability has been used once, it may not be used again until the next dawn.
